A	Name	RAJ2000	DEJ2000	logM*	Dmean
 	 	deg	deg	[Msun]	Mpc
-	----------	---------	---------	------	-------
 	PGC042868 	191.01480	-05.67606	 9.920	 25.400
 	PGC043020 	191.42241	-06.06961	 9.854	 25.800
 	PGC043236 	192.04061	-10.18666	 9.308	
 	PGC043341 	192.32553	-04.01518	 8.997	
 	PGC043345 	192.34759	-10.11988	 9.812	 23.300
 	PGC043458 	192.62267	-10.85454	 9.873	 31.300
 	PGC043679 	193.11221	-09.75374	 9.870	 37.940
 	PGC043851 	193.48871	-12.10582	 8.665	 17.300
 	PGC043970 	193.71270	-11.89234	 9.333	
 	PGC044157 	194.14420	-13.39384	 9.376	
 	PGC044278 	194.31589	-05.34594	 8.927	
 	PGC044358 	194.44524	-09.63367	 9.949	 27.711
 	PGC044506 	194.70270	-06.11223	 9.162	 27.300
 	PGC044532 	194.75858	+34.85998	 8.913	 12.695
 	PGC044735 	195.07134	-12.34663	 9.362	 26.000
 	PGC044906 	195.38837	-04.77569	 9.289	 43.100
 	PGC044952 	195.51367	-14.88242	 9.659	 29.700
 	PGC044954 	195.51194	-10.41283	 9.559	
 	PGC044982 	195.55994	-17.23754	 7.830	  7.100
 	PGC045084 	195.81990	-17.42290	 7.968	  5.677
 	PGC045195 	196.12994	-03.57232	 9.637	 25.000
 	PGC045257 	196.31456	-16.88815	 9.280	
 	PGC045359 	196.57684	-17.51497	 8.637	 23.600
 	PGC045650 	197.43368	-16.60213	10.369	
 	PGC045652 	197.44545	-10.32547	 9.995	 21.700
 	UGC09215  	215.86321	+01.72624	 9.807	 28.200
 	UGC05373  	150.00042	+05.33222	 7.576	  1.632
 	UGC05376  	150.11267	+03.37437	10.173	
 	UGC05391  	150.42155	+37.24749	 9.117	 25.800
 	UGC05393  	150.42542	+33.13638	 9.119	 24.200
 	UGC05401  	150.63065	+19.03300	 8.985	
 	UGC05403  	150.64809	+19.17700	 9.970	
 	UGC05421  	151.17375	+55.31136	 8.239	 15.300
 	UGC05423  	151.37762	+70.36522	 7.982	  7.660
 	UGC05427  	151.17061	+29.36438	 7.818	  7.110
 	UGC05446  	151.62875	+32.94667	 9.155	 36.750
 	UGC05451  	151.82882	+47.00654	 8.844	
 	UGC05456  	151.83179	+10.36202	 7.687	  4.053
 	UGC05459  	152.04162	+53.08344	 9.909	 22.029
 	UGC05464  	152.03215	+29.54296	 8.417	
 	UGC05478  	152.38255	+30.14989	 9.096	 23.400
 	UGC05522  	153.49542	+07.02404	 9.841	 38.000
 	UGC05524  	153.59025	+22.12451	 9.521	 34.500
