_RAJ2000;_DEJ2000;Name;Dist;RAJ2000;DEJ2000;logMBH
deg;deg; ;Mpc;"h:m:s";"d:m:s";[Msun]
-----------;-----------;----------------------------;------;-----------;-----------;-----
186.3897083;+13.2272222;M87 DW27                    ;15.650;12 25 33.53;+13 13 38.0;
187.9967500;+14.4204167;M88                         ;36.800;12 31 59.22;+14 25 13.5; 7.90
188.9161667;+12.5560278;M89                         ;16.200;12 35 39.88;+12 33 21.7; 8.84
189.2075833;+13.1628611;M90                         ;16.600;12 36 49.82;+13 09 46.3; 7.44
188.8601250;+14.4963333;M91                         ;19.800;12 35 26.43;+14 29 46.8; 7.03
192.7214583;+41.1201389;M94                         ; 5.200;12 50 53.15;+41 07 12.5; 7.00
160.9905417;+11.7036111;M95                         ;12.600;10 43 57.73;+11 42 13.0; 7.15
161.6905833;+11.8199444;M96                         ;10.700;10 46 45.74;+11 49 11.8; 7.31
184.7067917;+14.4165000;M99                         ;19.100;12 18 49.63;+14 24 59.4; 6.33
185.7287500;+15.8223889;M100                        ;21.400;12 22 54.90;+15 49 20.6; 6.32
210.8024167;+54.3487500;M101                        ;10.700;14 03 12.58;+54 20 55.5; 3.48
189.9978750;-11.6230833;M104                        ;11.300;12 39 59.49;-11 37 23.1; 8.73
161.9566667;+12.5816389;M105                        ;12.600;10 47 49.60;+12 34 53.9; 8.38
184.7400833;+47.3037222;M106                        ; 7.310;12 18 57.62;+47 18 13.4; 7.63
167.8790417;+55.6741111;M108                        ;19.300;11 11 30.97;+55 40 26.8; 6.22
010.0920000;+41.6853056;M110                        ; 0.800;00 40 22.08;+41 41 07.1; 3.45
177.5113750;+15.0231944;MRK 0750                    ;10.200;11 50 02.73;+15 01 23.5;
039.1477917;+59.6545833;Maffei 1                    ; 4.150;02 36 35.47;+59 39 16.5; 8.16
040.4795417;+59.6040833;Maffei 2                    ; 3.520;02 41 55.09;+59 36 14.7;
002.1934167;+15.8155278;NGC 14                      ; 5.730;00 08 46.42;+15 48 55.9;
002.4855833;-24.9631389;NGC 24                      ; 7.670;00 09 56.54;-24 57 47.3;
003.5166250;-23.1820833;NGC 45                      ; 6.640;00 14 03.99;-23 10 55.5;
003.7233333;-39.1966389;NGC 55                      ; 2.010;00 14 53.60;-39 11 47.9;
009.8952083; +0.8598889;NGC 201                     ;40.100;00 39 34.85;+00 51 35.6;
011.7856250;-20.7603889;NGC 247                     ; 4.370;00 47 08.55;-20 45 37.4;
