index,z,D (Mpc)
215,0.00690755,29.808275344296426
216,0.007138,30.80979018857143
217,0.01244,53.97751542857142
218,0.027112,119.34454518857143
219,0.0225639,98.88441249947142
220,0.0224952,98.5767172416
221,0.0227428,99.68586407931429
222,0.0100457,43.48549752209999
223,0.0097046,41.994768262114285
224,0.0282961,124.70043975089999
225,0.0180852,78.9097476816
226,0.00523,22.531512428571432
227,0.0207095,90.59307167249997
228,0.005084,21.899344525714284
229,0.0210287,92.0181695301
230,0.0231293,101.41827650781427
231,0.0228914,100.35178368839999
232,0.0109994,47.65880057297142
233,0.00705809,30.462457004777566
234,0.0187573,81.89629844267142
235,0.0100871,43.66649822747143
236,0.02,87.42857142857143
237,0.0247513,108.70254365009998
238,0.005416,23.33714166857143
239,0.00523181,22.539350725183283
240,0.0250219,109.91998062689999
241,0.00539701,23.25487592974328
242,0.021833,95.61291381
243,0.0250687,110.13059879867143
244,0.0112964,48.960037084114276
245,0.0211228,92.43845434217143
246,0.0220796,96.71618029782857
247,0.00773586,33.41015798545542
248,0.005904,25.45224521142857
249,0.00524,22.574818285714283
250,0.008342,36.04966698857143
251,0.010247,44.36571860999999
252,0.0123856,53.73858466011428
253,0.01084,46.960738285714285
254,0.0103042,44.61589944702857
255,0.0218996,95.91082491497143
256,0.0102154,44.22751884497143
257,0.0114793,49.7617471221
258,0.0221579,97.06659656747144
259,0.0102718,44.47418517959999
260,0.0129551,56.24114835432858
261,0.00906506,39.20243705487257
262,0.022311,97.75191737571429
263,0.008142,35.178394988571426
264,0.0078655,33.97442610107142
265,0.0256001,112.52342194289999
266,0.0164538,71.67654657617143
267,0.0221766,97.15029251811428
268,0.0135919,59.042741766899994
269,0.0206682,90.40874781960001
270,0.023083,101.21067809571427
271,0.0226056,99.07119922011427
272,0.02393,105.01133528571428
273,0.0276877,121.94703741981428
274,0.015881,69.14231211857143
275,0.00854882,36.951009957395996
276,0.00825421,35.66717992596042
277,0.027039,119.01474651857141
278,0.0186648,81.4850346816
279,0.0175963,76.73969903009998
280,0.0241826,106.1459920404
281,0.00872048,37.69940044898742
282,0.0290437,128.08815647009996
283,0.0253774,111.52033898897143
284,0.01853,80.88583242857142
285,0.0129967,56.42406090381428
286,0.0244262,107.24073962759998
287,0.00590635,25.46243558709643
288,0.008466,36.59002781142857
289,0.00980303,42.42484027363243
290,0.00966179,41.80774365430328
291,0.019761,86.36355909
292,0.0067444,29.099515420114287
293,0.008441,36.48107349
294,0.007799,33.68496171857143
295,0.00874699,37.81499928882899
296,0.0233591,102.44891808347143
297,0.0108219,46.88148651261428
298,0.0252881,111.11823429261429
299,0.00695777,30.026488128741
300,0.00599251,25.836086469000428
301,0.0100081,43.32112313832857
302,0.010128,43.84532735999999
303,0.01137,49.282615285714286
304,0.0180046,78.55185266211427
305,0.006908,29.810230559999997
306,0.02625,115.453125
307,0.00629569,27.15139591104042
308,0.00603012,25.99921005949028
309,0.019733,86.23881981
310,0.0069949,30.187836968614285
311,0.0187969,82.07238621261426
312,0.0127236,55.22352855839999
313,0.006558,28.29003156
314,0.00576102,24.832325791887428
315,0.00631269,27.225171664440424
316,0.00637901,27.513007579628997
317,0.0062713,27.045553730099996
318,0.0102815,44.516611038214286
319,0.0261711,115.09725632232856
320,0.006261,27.000857661428572
321,0.0167453,72.96730745181429
322,0.0155283,67.58326328952856
323,0.010638,46.07643018857142
324,0.0247907,108.87976631352856
325,0.0153027,66.58659697409999
326,0.01298,56.35063028571428
327,0.0105465,45.67597998107143
328,0.0247666,108.77136203811426
329,0.0246562,108.2748351361714
330,0.0244571,107.37964174461428
331,0.010764,46.627987268571424
332,0.025667,112.82483523857142
333,0.0172154,75.05044284497141
334,0.0155943,67.87492368209999
335,0.010858,47.039554988571425
336,0.0257669,113.27499915261427
337,0.0076865,33.19535263821428
338,0.007415,32.01420953571428
339,0.0181429,79.16599208747142
340,0.006304,27.187458925714285
341,0.01297,56.30666099999999
342,0.028506,125.65110872571425
343,0.01689,73.60830899999999
344,0.0129589,56.25785609661428
345,0.006608,28.507138559999994
346,0.0131493,57.095160387814275
347,0.011318,49.054701959999996
348,0.028543,125.81872649571427
349,0.00886203,38.31670961023242
350,0.014397,62.589744038571425
351,0.00964,41.71255542857143
352,0.014443,62.79257249571428
353,0.0105303,45.60508807752856
354,0.01308,56.790370285714275
355,0.0150172,65.32592698217142
356,0.007409,31.98811406142857
357,0.0132108,57.36567958559999
358,0.00757523,32.71120332665529
359,0.007228,31.201045645714284
360,0.007218,31.157569388571424
361,0.0136585,59.335948381071425
362,0.018773,81.96610940999999
363,0.00753084,32.518086647595425
364,0.025971,114.19496931857142
365,0.00737607,31.844898894192426
366,0.00843518,36.45570969271028
367,0.00841749,36.37861773385757
368,0.012572,54.55737936
369,0.0109124,47.27777345897142
370,0.018459,80.57029148999999
371,0.0125098,54.284121840171416
372,0.027746,122.21074506857143
373,0.0291018,128.3516346996
374,0.0294506,129.93401931582858
375,0.0182965,79.84826533821426
376,0.0211892,92.73506655702856
377,0.0162794,70.90465227582855
378,0.018126,79.09093661142856
379,0.0186414,81.38100768839998
380,0.013306,57.78449843999999
381,0.0291069,128.37476411832856
382,0.0261427,114.96917469981429
383,0.00852993,36.86867016773528
384,0.018925,82.64209553571428
385,0.0278084,122.49303047382858
386,0.0162595,70.81659145821429
387,0.0108976,47.21296151040001
388,0.0115,49.85249999999999
389,0.0290791,128.2486888149
390,0.0156704,68.21126329782858
391,0.011168,48.39738953142858
392,0.0297163,131.1401077958143
393,0.0115822,50.2129172436
