_RAJ2000	_DEJ2000	Seq	Name	n_Name	RAJ2000	DEJ2000	Dist
deg	deg	 	 	 	"h:m:s"	"d:m:s"	Mpc
----------	----------	---	--------------	-	----------	---------	-----
184.997917	-17.391944	268	ISZ399        	p	12 19 59.5	-17 23 31	 9.00
185.158750	+46.292500	269	NGC4288       	p	12 20 38.1	+46 17 33	 7.70
185.312500	+45.811389	270	UGC7408       	p	12 21 15.0	+45 48 41	 6.90
186.105417	+70.333611	271	UGC7490       	p	12 24 25.3	+70 20 01	 8.40
186.366250	+28.482500	272	LEDA166137    	s	12 25 27.9	+28 28 57	 6.00
186.453750	+33.546667	273	NGC4395       	p	12 25 48.9	+33 32 48	 4.61
186.566667	+48.493611	274	UGCA281       	s	12 26 16.0	+48 29 37	 5.70
186.771250	+37.142500	275	UGC7559       	p	12 27 05.1	+37 08 33	 4.87
186.920417	+43.495556	276	UGC7577       	p	12 27 40.9	+43 29 44	 2.74
187.012083	+22.589444	277	UGC7584       	s	12 28 02.9	+22 35 22	 7.30
187.022500	+22.290833	278	LSBCF573-01   	s	12 28 05.4	+22 17 27	 7.20
187.046667	+44.093333	279	NGC4449       	p	12 28 11.2	+44 05 36	 4.21
187.118750	+37.233611	280	UGC7599       	p	12 28 28.5	+37 14 01	 6.90
187.161250	+35.717500	281	UGC7605       	p	12 28 38.7	+35 43 03	 4.43
187.183750	+22.822500	282	NGC4455       	p	12 28 44.1	+22 49 21	 7.80
187.188750	+43.226389	283	UGC7608       	p	12 28 45.3	+43 13 35	 7.80
187.189583	+44.864167	284	NGC4460       	s	12 28 45.5	+44 51 51	 9.60
187.217500	+42.178056	285	MCG+07-26-011 	s	12 28 52.2	+42 10 41	 6.00
187.472500	+47.531111	286	UGC7639       	p	12 29 53.4	+47 31 52	 8.00
187.599167	+42.901667	287	MCG+07-26-012 	s	12 30 23.8	+42 54 06	 6.40
187.629583	+41.700278	288	NGC4485       	p	12 30 31.1	+41 42 01	 7.10
187.650417	+41.642778	289	NGC4490       	p	12 30 36.1	+41 38 34	 8.00
188.002917	+39.833056	290	UGC7678       	s	12 32 00.7	+39 49 59	 9.30
188.111667	+42.705000	291	UGC7690       	p	12 32 26.8	+42 42 18	 7.70
188.200000	+37.621667	292	UGC7699       	p	12 32 48.0	+37 37 18	 6.80
188.226667	+31.541111	293	UGC7698       	p	12 32 54.4	+31 32 28	 6.10
188.502500	+39.019444	294	UGC7719       	s	12 34 00.6	+39 01 10	 9.40
188.522500	+35.518889	295	NGC4534       	p	12 34 05.4	+35 31 08	10.80
189.093750	+40.005278	296	UGC7774       	s	12 36 22.5	+40 00 19	 7.40
189.340833	+38.743889	297	UGCA290       	s	12 37 21.8	+38 44 38	 6.70
189.666667	+32.766944	298	UGCA292       	s	12 38 40.0	+32 46 01	 3.10
189.997500	-11.623056	299	M104          	p	12 39 59.4	-11 37 23	 9.30
190.001250	+61.608056	300	NGC4605       	p	12 40 00.3	+61 36 29	 5.47
190.386250	+41.151111	301	NGC4618       	p	12 41 32.7	+41 09 04	 7.80
190.469167	+41.273889	302	NGC4625       	p	12 41 52.6	+41 16 26	 8.70
190.533333	+32.540556	303	NGC4631       	p	12 42 08.0	+32 32 26	 8.10
190.562917	+38.503333	304	UGC7866       	p	12 42 15.1	+38 30 12	 4.57
190.990417	+32.168056	305	NGC4656       	p	12 43 57.7	+32 10 05	 8.60
191.104583	+34.386667	306	UGC7916       	p	12 44 25.1	+34 23 12	 8.20
191.501667	-33.838056	307	ESO381-G020   	p	12 46 00.4	-33 50 17	 5.44
191.730833	+26.564167	308	UGCA298       	s	12 46 55.4	+26 33 51	10.30
191.735000	+51.612778	309	UGC7950       	s	12 46 56.4	+51 36 46	 7.90
191.749167	+36.476389	310	UGC7949       	s	12 46 59.8	+36 28 35	 9.90
192.095417	+51.164722	311	NGC4707       	p	12 48 22.9	+51 09 53	 7.40
192.720833	+41.120556	312	NGC4736       	p	12 50 53.0	+41 07 14	 4.66
193.521667	+27.148611	313	UGC8024       	p	12 54 05.2	+27 08 55	 4.30
194.017917	 +3.811944	314	UGC8055       	s	12 56 04.3	+03 48 43	 6.60
194.182083	+21.681111	315	NGC4826       	p	12 56 43.7	+21 40 52	 7.50
194.668333	+14.217500	316	UGC8091       	p	12 58 40.4	+14 13 03	 2.13
195.533750	+58.701389	317	UGC8146       	p	13 02 08.1	+58 42 05	10.60
195.560000	-17.237500	318	UGCA319       	p	13 02 14.4	-17 14 15	 7.40
