NAME	RA	DEC	Redshift	r_SDSS	Current Status	Obs. Date	SDSS picture (1.5'x1.5')
NGC1666	04:48:32.84	-06:34:12.16	0.009223	12.4366	V500+V1200 Completed	2014-10-30	NGC1666
NGC1667	04:48:37.18	-06:19:11.93	0.015204	12.0989	V500+V1200 Completed	2014-10-22	NGC1667
IC2095	04:48:45.88	-05:07:28.66	0.009542	15.4588	V500+V1200 Completed	2013-01-07	IC2095
IC2098	04:50:44.27	-05:25:06.20	0.009448	13.7662	V500+V1200 Completed	2014-12-18	IC2098
NGC1677	04:50:52.08	-04:53:33.56	0.009232	13.8207	V500+V1200 Completed	2013-11-23	NGC1677
IC2101	04:51:42.16	-06:13:53.56	0.015216	13.6748	V500+V1200 Completed	2013-12-09	IC2101
ARP180	04:53:24.60	-04:47:33.63	0.014515	13.9089	V500+V1200 Completed	2013-12-09	ARP180
UGC03253	05:19:41.88	+84:03:09.43	0.013766	13.144	V500+V1200 Completed	2012-01-21	UGC03253
NGC2253	06:43:41.83	+65:12:22.94	0.011956	12.4703	V500+V1200 Completed	2012-01-20	NGC2253
UGC03539	06:48:54.00	+66:15:41.88	0.011031	14.2759	V500+V1200 Completed	2013-11-24	UGC03539
NGC2347	07:16:04.08	+64:42:40.78	0.014857	12.5802	V500+V1200 Completed	2013-02-05	NGC2347
UGC03899	07:32:37.74	+35:36:52.12	0.012956	14.8495	V500+V1200 Completed	2013-01-08	UGC03899
NGC2410	07:35:02.26	+32:49:19.56	0.0155906	12.6602	V500+V1200 Completed	2012-04-23	NGC2410
UGC03944	07:38:36.50	+37:38:00.63	0.0130247	13.8119	V500+V1200 Completed	2012-01-21	UGC03944
UGC03969	07:41:14.34	+27:36:50.63	0.027497	14.3949	V500+V1200 Completed	2012-12-10	UGC03969
UGC03973	07:42:32.82	+49:48:34.78	0.022	13.2857	V500+V1200 Completed	2012-12-10	UGC03973
UGC03995	07:44:09.12	+29:14:50.75	0.015931	12.5555	V500+V1200 Completed	2012-02-25	UGC03995
NGC2449	07:47:20.29	+26:55:48.70	0.0163354	12.8374	V500+V1200 Completed	2012-02-25	NGC2449
UGC04029	07:48:18.96	+34:19:56.16	0.014837	13.8264	V500+V1200 Completed	2013-12-09	UGC04029
UGC04054	07:50:56.05	+23:53:45.28	0.00715844	14.0586	V500+V1200 Completed	2013-12-10	UGC04054
IC0480	07:55:23.22	+26:44:28.04	0.0152148	14.0278	V500+V1200 Completed	2013-12-23	IC0480
NGC2476	07:56:45.18	+39:55:40.40	0.012442	12.5579	V500+V1200 Completed	2013-12-10	NGC2476
NGC2480	07:57:10.44	+23:46:47.30	0.00780175	14.2965	V500+V1200 Completed	2013-12-22	NGC2480
NGC2481	07:57:13.75	+23:46:03.95	0.007298	12.2678	V500+V1200 Completed	2014-04-25	NGC2481
NGC2486	07:57:56.48	+25:09:39.12	0.0154787	13.2165	V500+V1200 Completed	2014-04-26	NGC2486
